depth,q,kind,layer_mode,rank_tol,p,rng_seed,xi_tie_policy,xi_tie_seed,n_draws,n_fallbacks_fsm,n_fallbacks_ensemble,wall_fsm,wall_quantile,wall_zscore,xi_fsm,xi_quantile,xi_zscore,W0_raw,W1_raw,W2_raw,W3_raw,W4_raw,W5_raw,W6_raw,W7_raw,W8_raw,P0_norm,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,P7_norm,P8_norm,W0_quantile,W1_quantile,W2_quantile,W3_quantile,W4_quantile,W5_quantile,W6_quantile,W7_quantile,W8_quantile,P0_quantile,P1_quantile,P2_quantile,P3_quantile,P4_quantile,P5_quantile,P6_quantile,P7_quantile,P8_quantile
5,2,geometric_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.043429851531982436,0.0,-65.39858369960214,0.1407624633431085,0.9966666666666667,4.35851862944056,3.495040425960603e-07,0.00018652243759920083,0.0003847446512086346,1.5123260688198215e-07,1.6856649409671315e-10,1.0746958878783813e-13,,,,0.0006112689870426966,0.3262204941754321,0.6729034418815295,0.0002644999517885909,2.9481624684646213e-07,1.879601339895273e-10,,,,0.0,0.0,0.19666666666666666,0.01,0.0,0.0,,,,0.0,1.0,1.0,0.47,0.0,0.0033333333333333335,,,
5,2,geometric_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.015490770339965945,0.0,-19.080324429230565,0.19079788205221837,0.9766666666666667,1.8959143272396035,2.38273580865908e-06,9.064015483950368e-06,0.00011613460176285168,1.5123260688198557e-07,1.6856649409664217e-10,1.0746958878826465e-13,,,,0.01865407053217994,0.07096077690523901,0.9091998553251391,0.0011839767150390115,1.3196810400942617e-06,8.413628074229779e-10,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.51,1.0,0.03333333333333333,0.0,0.0,,,
5,2,uniform_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04146242141723633,0.0,-74.70632034992323,-0.08924986311370686,0.8333333333333334,0.6180928634763396,7.908037966686381e-07,0.00015762462554835715,0.0003620450618928567,5.549730277110194e-06,3.0814956808457486e-08,5.595612861957301e-11,,,,0.0015033118287750159,0.29964317962470305,0.6882448293570501,0.010549993825568931,5.8578991740420534e-05,1.0637216260294206e-07,,,,0.0,0.0,0.013333333333333334,0.24,0.0033333333333333335,0.016666666666666666,,,,0.0,1.0,1.0,0.9933333333333333,0.3433333333333333,0.07333333333333333,,,
5,2,uniform_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.019636631011962946,0.0,-21.17580352562148,0.11817853270690282,0.9233333333333333,1.5620040739260432,3.648888366658579e-05,4.788629452878773e-05,0.00013493350066262616,5.549730277110166e-06,3.0814956808458644e-08,5.595612861959085e-11,,,,0.16225265899197172,0.21293275748206833,0.5999997004472513,0.024677611471407096,0.00013702279095684382,2.4881634468141826e-07,,,,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,0.0,,,,0.0,0.9933333333333333,1.0,0.7633333333333333,0.006666666666666667,0.016666666666666666,,,
5,2,harmonic_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04207420349121099,0.0,-53.542704351957326,0.31666362474904175,0.9966666666666667,3.7132905553610853,1.5574595318114332e-06,0.0004117968774240122,0.00032744908223492205,7.295982079824565e-06,6.144993491830377e-08,1.6575540939805475e-10,,,,0.0020817170321677327,0.5504121012569871,0.43767193800747833,0.009751887514082928,8.213463883472481e-05,2.2155044922197256e-07,,,,0.0,0.0,0.86,0.22666666666666666,0.0033333333333333335,0.02666666666666667,,,,0.0,1.0,1.0,0.9633333333333334,0.25,0.07333333333333333,,,
5,2,harmonic_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.016695499420166182,0.0,-16.303528378719072,0.29581529581529586,0.97,1.8347193895950369,1.8995225449458242e-05,4.643268967896642e-05,9.070926584797733e-05,7.29598207982459e-06,6.144993491830329e-08,1.6575540939805475e-10,,,,0.11618245912858287,0.28400105517097446,0.554814450610638,0.04462516867975734,0.00037585258311864206,1.0138269287180408e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,,,,0.0,0.9966666666666667,1.0,0.6366666666666667,0.01,0.016666666666666666,,,
5,3,geometric_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.040507316589355954,0.0,-38.474251064891114,-0.13726201269265648,0.36666666666666664,-0.4731449089942394,9.238871044559048e-05,0.00022769697331881454,0.0003172933808315304,3.876171242467267e-05,9.632852606244471e-06,8.946561266043537e-06,,,,0.13298693726872537,0.327753498895958,0.45672111591247394,0.055794711212947184,0.01386580199125025,0.01287793471864533,,,,0.0,0.0,0.09,0.7733333333333333,0.6366666666666667,0.9233333333333333,,,,0.0,1.0,1.0,0.9933333333333333,0.9633333333333334,0.9933333333333333,,,
5,3,geometric_x,LD,1.00000000000000e-10,13,2026,jitter_1e-12,7777,300,1,300,0.022418975830078403,0.0,-9.970082609782898,0.15835777126099704,0.9033333333333333,1.344222300645921,5.2496062915799496e-05,6.712703970098421e-05,0.00015445681127709384,3.203869022639587e-05,2.152411854272409e-06,2.1701641678669797e-10,,,,0.1702917992264899,0.2177531748573897,0.5010419226552416,0.10393019781815038,0.006982201463915091,7.039788133363067e-07,,,,0.0,0.0,0.013333333333333334,0.03666666666666667,0.0,0.006666666666666667,,,,0.023333333333333334,0.9666666666666667,1.0,0.7033333333333334,0.19666666666666666,0.023333333333333334,,,
5,3,uniform_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.03281641006469735,0.0,-47.6685994048588,-0.13305347691184521,0.3433333333333333,-0.4253034352759363,5.890824832022198e-05,4.329835218186442e-05,0.00033244882413896535,6.757380862154587e-05,2.9794941355020907e-05,5.981437652735633e-06,,,,0.10949374314448582,0.08047936897748659,0.6179281712992725,0.12560056453015073,0.05538035417379364,0.011117797874810811,,,,0.0,0.0,0.05,0.9133333333333333,0.9166666666666666,0.92,,,,0.0,0.9966666666666667,1.0,1.0,0.9966666666666667,1.0,,,
5,3,uniform_x,LD,1.00000000000000e-10,13,2026,jitter_1e-12,7777,300,1,300,0.024767398834228696,0.0,-10.365778587985888,0.13300492610837433,0.8966666666666666,1.2750851639342324,4.1916200992060306e-05,0.00010800753363248444,0.00017547466452605463,4.693666330892542e-05,1.8283622787468092e-06,3.851054242144678e-09,,,,0.11202529912130535,0.28866108989279343,0.4689738410564805,0.1254429939376984,0.004886483658610187,1.029233311220994e-05,,,,0.0,0.03,0.01,0.06,0.0,0.013333333333333334,,,,0.0033333333333333335,0.9966666666666667,1.0,0.81,0.23,0.05,,,
5,3,harmonic_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.046012401580810894,0.0,-31.523273534872857,-0.0012771392081736277,0.056666666666666664,-1.578776919882562,9.493964957135773e-05,0.0005311480341888002,0.00026581683118520675,2.2314428784420015e-05,7.720764190754013e-07,8.468334658007438e-06,,,,0.10280869328700822,0.5751720759814974,0.2878489776529469,0.024163953365426528,0.0008360697361031917,0.009170229977017785,,,,0.0,0.04666666666666667,0.24666666666666667,0.4166666666666667,0.02,0.8666666666666667,,,,0.0,1.0,1.0,0.94,0.36666666666666664,0.99,,,
5,3,harmonic_x,LD,1.00000000000000e-10,13,2026,jitter_1e-12,7777,300,1,300,0.01979422569274935,0.0,-9.767541920339237,0.09957975516170292,0.68,0.4489830608440778,3.7300211719327e-05,2.5044021928265992e-05,0.0001294471568691347,8.963280775375948e-05,7.071816057191731e-07,1.975367069917094e-08,,,,0.13219940409392725,0.08876101830050812,0.45878659157545104,0.3176765821458544,0.002506392927893764,7.001095636529505e-05,,,,0.0,0.0,0.0,0.06,0.0,0.02,,,,0.023333333333333334,0.36,1.0,0.99,0.02666666666666667,0.09333333333333334,,,
5,4,geometric_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.034259796142578375,0.0,-24.887277243114468,0.3305918111925621,1.0,3.5853918278160934,1.985233757384507e-05,3.9150889773686014e-05,0.000380601220195233,2.292011561344486e-05,1.6856649409653864e-10,1.0746958878577664e-13,,,,0.04292167792907201,0.08464604610172767,0.8228775544374136,0.04955435685082576,3.64448606736195e-07,2.3235425349154466e-10,,,,0.0,0.0,0.45,0.3566666666666667,0.0,0.0,,,,0.0,0.8333333333333334,1.0,0.94,0.0,0.0,,,
5,4,geometric_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.0067796707153323366,0.0,-8.06851444165165,0.13866231647634586,0.9166666666666666,1.415457168773912,1.6531793622929974e-07,9.501586051285999e-07,2.5443066556718728e-05,1.4444726676998027e-06,1.6856649409616696e-10,1.0746958877809937e-13,,,,0.005903540598571795,0.03393037699598917,0.9085776159304135,0.051582443089933386,6.0195473289441125e-06,3.8377631304526286e-09,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.08333333333333333,1.0,0.14,0.0,0.0,,,
5,4,uniform_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.030323505401611467,0.0,-31.03512218588035,-0.31842769563649487,0.0033333333333333335,-2.424466177150881,3.748244816748303e-07,0.00010059477971413654,0.00023552471059140652,2.1465686559807316e-05,3.0814956808455845e-08,5.595612861956814e-11,,,,0.0010470224542558839,0.28099816925244847,0.65790702736235,0.05996154713190446,8.607749302076882e-05,1.5630602050360232e-07,,,,0.0,0.01,0.02666666666666667,0.32666666666666666,0.0,0.006666666666666667,,,,0.0,1.0,1.0,0.97,0.016666666666666666,0.03,,,
5,4,uniform_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.009423732757569178,0.0,-8.03304000780653,-0.10394784498370147,0.17333333333333334,-0.899764127756924,2.7834378011343654e-06,1.0784474096858785e-05,3.7475047415470695e-05,4.7163307304038225e-06,3.0814956808451286e-08,5.595612861939296e-11,,,,0.049891195031493606,0.19330422984813778,0.6717142731401253,0.08453696224421038,0.0005523367611774703,1.0029748554179063e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.9433333333333334,1.0,0.37,0.0033333333333333335,0.006666666666666667,,,
5,4,harmonic_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.03474950790405279,0.0,-19.759491007785265,0.021109123434704835,0.19333333333333333,-0.8227144673023932,4.730467708569118e-05,7.235591872500926e-05,0.0003921468529028953,2.7868456648150596e-05,6.144993491830153e-08,1.6575540939803242e-10,,,,0.08764385509735056,0.1340576037477823,0.7265510319506967,0.05163335058461099,0.0001138515158229528,3.071037364142047e-07,,,,0.0,0.0,0.7,0.23666666666666666,0.0,0.0033333333333333335,,,,0.0,0.9066666666666666,1.0,0.8933333333333333,0.0033333333333333335,0.01,,,
5,4,harmonic_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.008385658264160323,0.0,-7.703114729689082,-0.09745234277569925,0.12333333333333334,-1.081788959168716,5.511219036691456e-07,1.1612624426504915e-05,2.729133315426672e-05,5.515892986807266e-06,6.144993491829585e-08,1.657554093983786e-10,,,,0.012238290672784223,0.2578715747991016,0.606035190701146,0.12248669712290104,0.0013645659160831508,3.680787984107255e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.9433333333333334,1.0,0.4166666666666667,0.0,0.013333333333333334,,,
6,2,geometric_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04931640625000003,0.0,-235.23337181724386,-0.19964426607073626,0.0033333333333333335,-3.5996471147518676,0.0002825856167201241,0.00042765337335870675,0.0003568988811897275,1.5312985812699182e-07,1.8673751434036442e-10,4.3964831776907495e-14,2.2204460480224669e-16,,,0.2647689964290987,0.40069043781462893,0.3343969155120231,0.00014347523886811675,1.7496398026701733e-07,4.119291180794545e-11,2.080450090077071e-13,,,0.0,0.0,0.0033333333333333335,0.05333333333333334,0.0,0.0,0.0,,,0.0,1.0,1.0,0.8633333333333333,0.0,0.0,0.0,,
6,2,geometric_x,LD,1.00000000000000e-10,12,2026,jitter_1e-12,7777,300,1,300,0.01659703254699757,0.0,-81.44200334899395,0.21699794379712134,1.0,4.978976482893074,9.294987002376069e-11,9.356588742459835e-06,0.00012390773559522975,1.5312985812699277e-07,1.8673751434033097e-10,4.39648317776022e-14,2.2204460478609081e-16,,,6.966830217214479e-07,0.07013002295146258,0.9287201329822177,0.0011477474067303017,1.3996453757936128e-06,3.2952764586400427e-10,1.6642810385832058e-12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.2866666666666667,1.0,0.42333333333333334,0.0,0.0,0.0,,
6,2,uniform_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.049464702606201214,0.0,-215.2953870481039,-0.16112216201385565,0.016666666666666666,-2.7779632420461695,0.0002957398152878575,0.00022857098757844856,0.00037629706727471156,5.636974081291132e-06,3.2878856748295475e-08,7.68962671314357e-11,8.015810237775213e-14,,,0.32632357900607556,0.2522085254261502,0.4152116130966406,0.006219918529336188,3.6279004899251235e-05,8.484845058185042e-08,8.844760665310884e-11,,,0.0,0.0,0.0,0.37666666666666665,0.03,0.0,0.0033333333333333335,,,0.0,1.0,1.0,1.0,0.7433333333333333,0.01,0.006666666666666667,,
6,2,uniform_x,LD,1.00000000000000e-10,12,2026,jitter_1e-12,7777,300,1,300,0.021064519882203286,0.0,-92.46429398679511,-0.08864468864468855,0.7133333333333334,0.40526231145511643,1.4043703999731346e-07,6.593318037096023e-05,0.00015086243306482768,5.636974081291119e-06,3.287885674829514e-08,7.689626713144746e-11,8.015810237597175e-14,,,0.000630877210716054,0.29618782143845807,0.6777106023852154,0.025322653377995313,0.00014769979086211123,3.4543666345639434e-07,3.600896176978122e-10,,,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.06,0.0,0.0033333333333333335,,
6,2,harmonic_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04703140258789064,0.0,-169.83562299731832,0.21428408129672394,1.0,6.628069942875336,1.8115777919769653e-05,0.0005172544397349375,0.00032266230246924473,7.394734368837473e-06,6.497781490643823e-08,2.072364502227682e-10,2.4180657476239944e-13,,,0.020931179854384308,0.5976417770475976,0.3728077654254765,0.008543961829021045,7.507612073712404e-05,2.394433974189543e-07,2.793861201401151e-10,,,0.0,0.0,0.9966666666666667,0.4066666666666667,0.023333333333333334,0.0,0.013333333333333334,,,0.0,1.0,1.0,1.0,0.6433333333333333,0.0033333333333333335,0.02,,
6,2,harmonic_x,LD,1.00000000000000e-10,12,2026,jitter_1e-12,7777,300,1,300,0.017913579940796807,0.0,-62.20495172880584,-0.01538461538461533,0.01,-2.659524444065081,1.997855251922955e-05,1.6037599571472744e-05,0.00012132580912528013,7.394734368837436e-06,6.497781490643754e-08,2.0723645022269393e-10,2.418065747608e-13,,,0.12122769723739607,0.09731442072161026,0.7361918958625719,0.04487044886527957,0.0003942783575057991,1.257488380100035e-06,1.4672561591686568e-09,,,0.0,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,,,0.0,0.10666666666666667,1.0,0.9966666666666667,0.03333333333333333,0.0,0.0,,
6,3,geometric_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.049127578735351576,0.0,-142.61571367824382,-0.2725910793326525,0.0,-5.063602416859929,0.0001115845462751355,0.0003684068872700252,0.000299353038334393,2.7723692075376257e-05,1.1525463385231213e-05,3.812279590809045e-05,2.93761247349698e-06,,,0.12980168956160523,0.42855250131027195,0.3482250136626906,0.03224982484040803,0.013407095071163904,0.04434667241000422,0.003417203143856143,,,0.0,0.0,0.0,1.0,0.9966666666666667,1.0,0.9966666666666667,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
6,3,geometric_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.02402043342590371,0.0,-43.55651658326993,0.2805860805860806,1.0,4.424600642542315,1.793129754900428e-06,0.00021272055893195075,0.0001155325754362832,2.195830409945129e-06,1.3029615342225152e-06,6.815036188713985e-07,2.8474025359768753e-07,,,0.005360445985601327,0.6359144189456414,0.34537719789162535,0.006564293673608302,0.003895119640075279,0.002037311202922303,0.000851212660525833,,,0.0,0.0033333333333333335,0.0,0.0,0.0,0.01,0.24333333333333335,,,0.0,1.0,1.0,0.56,0.54,0.62,0.85,,
6,3,uniform_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.04370975494384774,0.0,-169.64733176436488,-0.06476660272220691,0.9866666666666667,3.2215306366843275,9.678360407861094e-05,0.00012857922465936593,0.0003219965087588588,3.085085434517658e-05,1.9629113039431986e-05,6.624627220730362e-05,4.693441139957881e-06,,,0.1447168667685585,0.1922596570088493,0.48146921476645976,0.0461301169807728,0.029350671155056067,0.09905554809832424,0.0070179252219794395,,,0.0,0.0,0.0,0.9966666666666667,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
6,3,uniform_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.02656555175781311,0.0,-55.3182701699118,-0.14032158459321598,0.23333333333333334,-0.7407103804262769,3.0211181846444484e-05,8.027395278410302e-05,0.00022739053093875678,2.295678481255107e-05,1.9996580848368352e-05,7.031447445427291e-07,1.4403348735904334e-08,,,0.07918084837770041,0.21039096439137786,0.5959705662724836,0.06016771229676435,0.05240927826904674,0.001842880483398471,3.77499092284933e-05,,,0.0,0.0,0.0,0.2966666666666667,0.5,0.01,0.09666666666666666,,,0.0,1.0,1.0,1.0,1.0,0.7966666666666666,0.3933333333333333,,
6,3,harmonic_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.052639484405517634,0.0,-106.24116042969807,-0.08517926467229953,0.0,-8.398105778334816,8.005787340814681e-05,0.0006696132903143441,0.00021969536943955366,3.486349706793833e-05,5.787006958746161e-06,2.007574860973774e-05,1.4226135489625322e-06,,,0.07761190328209744,0.6491549139624706,0.2129831213169868,0.03379832922513239,0.0056101992877733205,0.01946238381166032,0.0013791491138789825,,,0.0,0.0,0.0033333333333333335,0.9933333333333333,0.87,1.0,0.9733333333333334,,,0.0,1.0,1.0,1.0,0.9966666666666667,1.0,1.0,,
6,3,harmonic_x,LD,1.00000000000000e-10,16,2026,jitter_1e-12,7777,300,1,300,0.021236896514893383,0.0,-34.08957468199679,0.39008709133190456,1.0,3.9769579006788094,9.933364903980037e-05,1.1288690216826267e-05,0.00014221087724286768,4.795727019946551e-06,9.571462553651136e-07,1.136849863136771e-07,2.5884726562179566e-07,,,0.3835888848278727,0.043592640895581125,0.5491644809114801,0.018519279189905934,0.0036961358840806365,0.00043900830728832554,0.0009995699837909457,,,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.21333333333333335,,,0.0,0.0033333333333333335,1.0,0.7266666666666667,0.2633333333333333,0.06333333333333334,0.78,,
6,4,geometric_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.04431390762329107,0.0,-97.21276971584102,-0.06428538885598423,0.91,1.3748676530249018,0.00018040931253104954,0.0003479740962091251,0.00024234832190805905,3.465167638427864e-05,1.8673751434041097e-10,4.396483177695596e-14,2.2204460480870903e-16,,,0.2240042060909754,0.432060075325294,0.3009104279866472,0.04302505868063673,2.3186158220090053e-07,5.45886855836522e-11,2.757004320849506e-13,,,0.0,0.0,0.0,0.9766666666666667,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,
6,4,geometric_x,LD,1.00000000000000e-10,20,2026,jitter_1e-12,7777,300,1,300,0.007908821105957281,0.0,-33.641618529126504,0.024046491408698856,0.71,0.5771388306174116,1.304561458859686e-08,5.143229107939983e-06,2.8112204112806624e-05,3.6328604924302294e-07,1.8673751434038525e-10,4.396483177523536e-14,2.2204460489352736e-16,,,0.00038789347457575125,0.15292687022670653,0.8358778697042697,0.0108018128964923,5.552384119522114e-06,1.3072340318363393e-09,6.602192079032896e-12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9966666666666667,1.0,0.4266666666666667,0.0,0.0,0.0,,
6,4,uniform_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.04284906387329114,0.0,-126.35405561825377,-0.06920020097748147,0.9366666666666666,1.5108458125295883,0.00026548684613346505,0.0002105824175018775,0.0003227940278693983,2.132324422095841e-05,3.287885674829622e-08,7.689626713151466e-11,8.015810237566479e-14,,,0.32367780681350616,0.2567391041898479,0.3935459120288769,0.025996997682208697,4.008543699175952e-05,9.375084099180456e-08,9.772762437444623e-11,,,0.0,0.0,0.0,0.92,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.11,0.0,0.0,,
6,4,uniform_x,LD,1.00000000000000e-10,20,2026,jitter_1e-12,7777,300,1,300,0.010998725891114836,0.0,-42.18770903126598,-0.04977871058995298,0.5233333333333333,0.07012149116791547,5.2117803461809215e-06,1.8519162465752909e-06,5.26233093738348e-05,5.017126210483315e-06,3.2878856748295633e-08,7.689626713158064e-11,8.015810237851953e-14,,,0.08050687027127168,0.028606727665633234,0.8128773009608427,0.07750002919020865,0.0005078828498293115,1.1878240046788634e-06,1.23820988620666e-09,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.11,1.0,0.9866666666666667,0.013333333333333334,0.0,0.006666666666666667,,
6,4,harmonic_x,LI,1.00000000000000e-10,8,2026,jitter_1e-12,7777,300,1,300,0.042523860931396505,0.0,-76.59072741621827,0.04883381924198249,0.023333333333333334,-2.0581929278497006,4.121182700014412e-06,0.00024594455130842757,0.0002087658747205181,0.00010508096127883746,6.497781490644122e-08,2.0723645022263422e-10,2.418065747606934e-13,,,0.007307349733705696,0.4360890992538914,0.37016685987750064,0.18632110981533678,0.00011521343580610993,3.6745500735582147e-07,4.2875197201998837e-10,,,0.0,0.0,0.006666666666666667,0.9966666666666667,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.11666666666666667,0.0,0.0,,
6,4,harmonic_x,LD,1.00000000000000e-10,20,2026,jitter_1e-12,7777,300,1,300,0.009782791137695507,0.0,-26.545784986366087,0.1658888610649487,0.77,0.7487874887271152,8.362542127659649e-07,1.043352085927651e-05,3.474338516418224e-05,5.441255670923937e-06,6.497781490644005e-08,2.0723645022260695e-10,2.418065747610399e-13,,,0.016231767973407807,0.20251555944135194,0.6743721681597937,0.10561525214001456,0.001261225114181332,4.022477763693411e-06,4.693486927837012e-09,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.94,0.01,0.0,0.0033333333333333335,,
7,2,geometric_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.05239009857177737,0.0,-899.604789143958,-0.23456493716219495,0.0,-40.9394527382751,0.00031120857707517366,0.0004511885582706987,0.00039338032489705244,1.5364123190364655e-07,1.9116591642998153e-10,3.31401572851724e-14,4.82947015706127e-15,4.996003612364168e-16,,0.26922757351248394,0.3903247201007382,0.3403146254352858,0.00013291553994315472,1.6537826914166998e-07,2.8669660121719036e-11,4.177990670939913e-12,4.322059316159221e-13,,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0,
