kind,q,depth,layer_dependent,layer0_fit_gap_inf,layer0_fit_gap_2,layer0_excess_inf,layer0_excess_2,e_0_inf,e_final_inf,time
uniform_x,3,4,False,0.015527725219726562,0.05975530623301091,0.006057262420654297,0.016703938641351238,0.05640411376953125,0.03439140319824219,8.114251136779785
uniform_x,3,4,True,0.012598037719726562,0.059409944272223104,0.00019788742065429688,0.016525227769746062,0.05054473876953125,0.02693653106689453,8.810028791427612
uniform_x,3,6,False,0.021071434020996094,0.09490478420387713,0.021071434020996094,0.021492954058579344,0.07747173309326172,0.04755592346191406,33.00043487548828
uniform_x,3,6,True,0.025018692016601562,0.23045080250730876,0.009202003479003906,0.105555210793289,0.06560230255126953,0.02986431121826172,30.24075698852539
uniform_x,3,8,False,0.02753305435180664,0.3904176485327537,0.014297008514404297,0.15958209008381863,0.07227039337158203,0.06030750274658203,127.85578918457031
uniform_x,3,8,True,0.01166391372680664,0.2556531948030984,0.005019664764404297,0.07506920419078367,0.06299304962158203,0.03271961212158203,117.85186100006104
uniform_x,5,4,False,0.011865615844726562,0.05364659794975543,0.002883434295654297,0.013657882142296893,0.05323028564453125,0.02400684356689453,8.132079839706421
uniform_x,5,4,True,0.013574600219726562,0.06835614813226369,0.003708362579345703,0.02138967247528112,0.054055213928222656,0.012776374816894531,8.187004089355469
uniform_x,5,6,False,0.020827293395996094,0.10801777126133692,0.020827293395996094,0.027452249598925504,0.07722759246826172,0.04288768768310547,32.269887924194336
uniform_x,5,6,True,0.008620262145996094,0.07578035833077665,0.008620262145996094,0.013954577269592344,0.06502056121826172,0.013368606567382812,31.818352937698364
uniform_x,5,8,False,0.02509164810180664,0.3604465602954459,0.018447399139404297,0.13901473484492755,0.07642078399658203,0.05915546417236328,128.21478295326233
uniform_x,5,8,True,0.014052867889404297,0.08627909614137037,0.014052867889404297,0.009249327581613398,0.07202625274658203,0.015329360961914062,121.96251797676086
geometric_x,3,4,False,0.014708518981933594,0.059840905736690896,0.013188362121582031,0.017356929448084105,0.06182098388671875,0.036377906799316406,8.374207973480225
geometric_x,3,4,True,0.010014533996582031,0.028822056875456796,0.010014533996582031,0.0042985641656162615,0.05864715576171875,0.02313709259033203,8.069447994232178
geometric_x,3,6,False,0.020145893096923828,0.1499127600089818,0.020145893096923828,0.05187815611467789,0.07397651672363281,0.054030418395996094,33.27562880516052
geometric_x,3,6,True,0.030107498168945312,0.25558574572715687,0.015254497528076172,0.12820444288957772,0.06908512115478516,0.027345657348632812,32.3771710395813
geometric_x,3,8,False,0.029540538787841797,0.43186182721399474,0.015981197357177734,0.1947216891356528,0.07110214233398438,0.06255722045898438,126.04715514183044
geometric_x,3,8,True,0.009633541107177734,0.15382152376104635,0.009633541107177734,0.029840422385398246,0.06475448608398438,0.029354095458984375,119.10120391845703
geometric_x,5,4,False,0.023497581481933594,0.08538796874954417,0.0014600753784179688,0.032868947197479945,0.05009269714355469,0.025147438049316406,8.063886642456055
geometric_x,5,4,True,0.012755393981933594,0.053521251418599036,0.0019578933715820312,0.014106700232022026,0.05059051513671875,0.010743141174316406,7.815266132354736
geometric_x,5,6,False,0.019853591918945312,0.1655648134068968,0.019657611846923828,0.06185251180319773,0.07348823547363281,0.04885101318359375,33.11159920692444
geometric_x,5,6,True,0.009599685668945312,0.09986409056204729,0.005741596221923828,0.024569931586775007,0.05957221984863281,0.011133193969726562,29.987236261367798
geometric_x,5,8,False,0.029296398162841797,0.43091917805382657,0.016957759857177734,0.194015587343496,0.07207870483398438,0.060115814208984375,125.14512896537781
geometric_x,5,8,True,0.021728038787841797,0.38701120247179754,0.006235599517822266,0.16192163282277394,0.061356544494628906,0.012752532958984375,116.04995918273926
harmonic_x,3,4,False,0.02586078643798828,0.08121234234483266,0.02586078643798828,0.03226665736472607,0.07039451599121094,0.03816795349121094,8.476802825927734
harmonic_x,3,4,True,0.009907245635986328,0.04289319331523997,0.008038520812988281,0.010095973234567679,0.05257225036621094,0.020752906799316406,8.092910766601562
harmonic_x,3,6,False,0.026551246643066406,0.20792617957686668,0.026551246643066406,0.09721748264741872,0.07568836212158203,0.05737781524658203,34.24356484413147
harmonic_x,3,6,True,0.04775857925415039,0.36949005727706086,0.031065940856933594,0.23455677321595583,0.08020305633544922,0.02441883087158203,32.28132200241089
harmonic_x,3,8,False,0.03133535385131836,0.47169804070300186,0.018580913543701172,0.23830295681269292,0.06884765625,0.06299972534179688,135.75992274284363
harmonic_x,3,8,True,0.011012554168701172,0.16551359020785306,0.011012554168701172,0.03738550212128766,0.061279296875,0.02587890625,131.3564600944519
harmonic_x,5,4,False,0.029438495635986328,0.11031441426287164,0.02244281768798828,0.053849405751851306,0.06697654724121094,0.023682594299316406,7.807063102722168
harmonic_x,5,4,True,0.015278339385986328,0.057472476917905024,0.008038520812988281,0.017424787402881906,0.05257225036621094,0.011475563049316406,7.645169019699097
harmonic_x,5,6,False,0.02725076675415039,0.21318076046944578,0.019715309143066406,0.10127028938163843,0.06885242462158203,0.05039215087890625,31.69830894470215
harmonic_x,5,6,True,0.01455545425415039,0.12500048156480723,0.008484840393066406,0.04029346478843651,0.05762195587158203,0.013188362121582031,23.87351083755493
harmonic_x,5,8,False,0.03304433822631836,0.48652232820543634,0.017604351043701172,0.2503005502491202,0.06787109375,0.05887889862060547,84.57628726959229
harmonic_x,5,8,True,0.012721538543701172,0.2212458721771757,0.012721538543701172,0.06442426991804306,0.06298828125,0.014165878295898438,89.07794690132141
mirror_harmonic_x,3,4,False,0.011085987091064453,0.0679764835506548,0.0010480880737304688,0.022361341303632612,0.04778575897216797,0.03665637969970703,5.421003818511963
mirror_harmonic_x,3,4,True,0.019875049591064453,0.0887923853688736,0.0016374588012695312,0.035820258064538396,0.04837512969970703,0.03079700469970703,5.7832958698272705
mirror_harmonic_x,3,6,False,0.01840496063232422,0.09124314631694014,0.01840496063232422,0.021227371150001534,0.07415485382080078,0.04485797882080078,23.70686411857605
mirror_harmonic_x,3,6,True,0.027077674865722656,0.24128614910158136,0.0006380081176757812,0.1188564734678714,0.056387901306152344,0.032494544982910156,25.23511505126953
mirror_harmonic_x,3,8,False,0.022840499877929688,0.2223050391137286,0.022840499877929688,0.06148772678909814,0.08132648468017578,0.05740070343017578,81.55212903022766
mirror_harmonic_x,3,8,True,0.017930030822753906,0.34075190372597364,0.010877609252929688,0.13270696745323768,0.06936359405517578,0.03664875030517578,79.34347796440125
mirror_harmonic_x,5,4,False,0.007712841033935547,0.04825967544149127,0.006175041198730469,0.011873281503653604,0.05291271209716797,0.02396106719970703,4.926923036575317
mirror_harmonic_x,5,4,True,0.014503955841064453,0.07497362618744417,0.00031566619873046875,0.026648866151339393,0.04705333709716797,0.02054309844970703,5.229889154434204
mirror_harmonic_x,5,6,False,0.03207683563232422,0.01803414386021537,0.03207683563232422,0.00087464121868297,0.08782672882080078,0.03057384490966797,19.89336609840393
mirror_harmonic_x,5,6,True,0.009499549865722656,0.13890695600555,0.009127616882324219,0.04624726749675925,0.06487751007080078,0.020887374877929688,19.17844581604004
mirror_harmonic_x,5,8,False,0.020399093627929688,0.24972766841928223,0.020399093627929688,0.0761984434522105,0.07888507843017578,0.051896095275878906,85.44430899620056
mirror_harmonic_x,5,8,True,0.011582374572753906,0.34117815792822925,0.0067272186279296875,0.132995351911745,0.06521320343017578,0.02395343780517578,97.10685276985168
